Date         TIME (UTC)             Surface Skin Temperature
2007070912,      12,                 301.420
Pressure at bottom of layer (Pa),Pressure at midpoint of layer (Pa),Geopotential height at bottom of layer (m),Geopotential height at midpoint of layer (m),Latitude,Longitude,Temperature (K),Water Vapor mixing ratio (kg/kg),O3 (ppm),NO2 (ppm),HCHO (ppm),SO2 (ppm),CO (ppm),cloud optical thickness of ice,cloud optical thickness for water,aerosol optical depth at 300nm,aerosol optical depth at 400nm,aerosol optical depth at 600nm,aerosol optical depth at 999nm,assymetry parameter at 300nm,assymetry parameter at 400nm,assymetry parameter at 600nm,assymetry parameter at 999nm,single scattering albedo at 300nm,single scattering albedo at 400nm,single scattering albedo at 600nm,single scattering albedo at 999nm
      327.642,      294.832,       39443.331,       40103.554,      40.3000,     -74.7000,       248.25420,  3.76541e-06,      6.11200,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      262.020,      235.259,       41077.522,       41871.878,      40.3000,     -74.7000,       250.93698,  3.83861e-06,      5.16689,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      208.496,      186.788,       42666.293,       43600.148,      40.3000,     -74.7000,       252.94768,  3.90795e-06,      4.30055,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      165.078,      147.565,       44720.263,       45623.838,      40.3000,     -74.7000,       254.20302,  3.97933e-06,      3.60256,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      130.050,      115.998,       46527.514,       47252.546,      40.3000,     -74.7000,       255.21335,  4.03550e-06,      3.07439,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      101.943,      90.7287,       47977.679,       49146.167,      40.3000,     -74.7000,       255.67845,  4.08063e-06,      2.63093,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      79.5124,      70.5957,       50438.508,       51465.899,      40.3000,     -74.7000,       255.57659,  4.13144e-06,      2.18678,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      61.6769,      54.6293,       52493.515,       53305.549,      40.3000,     -74.7000,       255.49581,  4.15650e-06,      1.74663,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      47.5796,      42.0424,       54117.807,       54755.812,      40.3000,     -74.7000,       255.43213,  4.16278e-06,      1.45052,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      36.5031,      32.1784,       55879.706,       56978.655,      40.3000,     -74.7000,       251.46397,  4.15579e-06,      1.19086,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      27.8516,      24.4938,       58078.100,       58931.355,      40.3000,     -74.7000,       247.57548,  4.12901e-06,     0.983561,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      21.1339,      18.5422,       59785.105,       60443.676,      40.3000,     -74.7000,       244.56393,  4.09883e-06,     0.821541,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      15.9485,      13.9599,       61102.744,       61608.064,      40.3000,     -74.7000,       242.24524,  4.05552e-06,     0.695017,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      11.9693,      10.4524,       62113.881,       62499.339,      40.3000,     -74.7000,       240.47041,  3.97991e-06,     0.590926,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      8.93353,      7.76725,       62885.294,       63181.651,      40.3000,     -74.7000,       239.11169,  3.92361e-06,     0.460877,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
